Country,Death,Elevation,Location,Name,Type,VEI,Year
Portugal,,1053,Azores,San Jorge,Fissure vent,0,1757
Indonesia,2000,1357,Halmahera-Indonesia,Makian,Stratovolcano,4,1760
Russia,,4835,Kamchatka,Kliuchevskoi,Stratovolcano,2,1762
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,4,1766
Philippines,49,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1766
Ecuador,,5911,Ecuador,Cotopaxi,Stratovolcano,4,1768
Indonesia,35,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,3,1772
Indonesia,2957,2665,Java,Papandayan,Stratovolcano,3,1772
Indonesia,,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,2,1773
Indonesia,1300,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,3,1775
Indonesia,,1580,Sulawesi-Indonesia,Lokon-Empung,Stratovolcano,3,1775
Russia,15,551,Kuril Is,Raikoke,Stratovolcano,4,1778
Italy,,1281,Italy,Vesuvius,Complex volcano,2,1779
Japan,153,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,4,1779
Japan,7,423,Izu Is-Japan,Aoga-shima,Stratovolcano,3,1780
Japan,,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,4,1780
Japan,,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,4,1780
Japan,,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,,1780
Japan,23,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,4,1781
Japan,1491,2560,Honshu-Japan,Asama,Complex volcano,4,1783
Iceland,9350,1725,Iceland-NE,Grimsvotn,Caldera,4,1784
Peru,,5967,Peru,Sabancaya,Stratovolcano,,1784
United States,,2523,Hawaiian Is,Hualalai,Shield volcano,0,1784
Japan,135,423,Izu Is-Japan,Aoga-shima,Stratovolcano,3,1785
Indonesia,38,2565,Java,Dieng Volc Complex,Complex volcano,2,1786
Japan,,758,Izu Is-Japan,Oshima,Stratovolcano,2,1789
United States,5405,1222,Hawaiian Is,Kilauea,Shield volcano,4,1790
Japan,,1500,Kyushu-Japan,Unzen,Complex volcano,2,1792
Italy,400,1281,Italy,Vesuvius,Complex volcano,3,1794
Indonesia,,2249,Java,Guntur,Complex volcano,,1800
Philippines,,2462,Luzon-Philippines,Mayon,Stratovolcano,2,1800
Portugal,9,1053,Azores,San Jorge,Fissure vent,1,1800
Tanzania,,2175,Africa-E,Kieyo,Stratovolcano,2,1800
United States,2,2523,Hawaiian Is,Hualalai,Shield volcano,0,1800
United States,,2549,US-Washington,St. Helens,Stratovolcano,5,1800
Japan,8,2237,Honshu-Japan,Chokai,Stratovolcano,2,1801
Japan,,2560,Honshu-Japan,Asama,Complex volcano,2,1803
Japan,,2560,Honshu-Japan,Asama,Complex volcano,2,1803
Japan,,1320,Hokkaido-Japan,Shikotsu,Caldera,3,1804
Italy,4,1281,Italy,Vesuvius,Complex volcano,2,1805
Indonesia,953,1320,Sangihe Is-Indonesia,Awu,Stratovolcano,3,1812
St. Vincent & the Grenadines,56,1220,W Indies,Soufriere St. Vincent,Stratovolcano,4,1812
Italy,,1281,Italy,Vesuvius,Complex volcano,2,1813
Philippines,1200,2462,Luzon-Philippines,Mayon,Stratovolcano,4,1814
Indonesia,11000,2850,Lesser Sunda Is,Tambora,Stratovolcano,7,1815
